distance,Right_lat_irreg,right vert irreg,left lat irreg,left vert irreg
100.5447,-0.005506387,-0.0110409,0.004250342,-0.001213484
100.7245,-0.005433021,-0.01042866,0.003944922,-0.000775541
100.9044,-0.005393299,-0.009610754,0.003745434,-0.00026043
101.0843,-0.005399938,-0.008626509,0.003667702,0.000311939
101.2643,-0.005454493,-0.007530298,0.003710305,0.000922564
101.4446,-0.005546689,-0.00639305,0.003854419,0.001553133
101.625,-0.005665572,-0.005287381,0.004080403,0.002185165
101.8056,-0.005796334,-0.004279472,0.004365909,0.002801953
101.9863,-0.005914542,-0.00341668,0.00468227,0.003391459
102.1672,-0.005994049,-0.00274354,0.004999723,0.003942266
102.3482,-0.006009759,-0.002299164,0.005289522,0.004443583
102.5292,-0.005945161,-0.002082897,0.00553045,0.004889138
102.7102,-0.005787291,-0.002077317,0.005704174,0.005274443
102.8912,-0.005523814,-0.002263963,0.0057927,0.005595217
103.0721,-0.005156282,-0.002606107,0.005786081,0.005851291
103.2529,-0.004699451,-0.003049633,0.005681782,0.006046319
103.4336,-0.004168663,-0.003539659,0.005477566,0.006184147
103.6142,-0.003582745,-0.004025114,0.005175178,0.006270976
103.7947,-0.002968409,-0.004463423,0.004784869,0.006318081
103.9751,-0.002353476,-0.004813118,0.00431804,0.006337434
104.1554,-0.001763987,-0.005036947,0.003787554,0.006341109
104.3357,-0.001215982,-0.005122225,0.003214161,0.006341549
104.516,-0.000722116,-0.005065071,0.002621347,0.006351339
104.6964,-0.000294361,-0.004862223,0.002032786,0.006382777
104.8768,6.85E-05,-0.004521796,0.001474845,0.006442959
105.0572,0.000379369,-0.00406209,0.000976258,0.006534635
105.2377,0.000651478,-0.003501846,0.000565891,0.006660399
105.4182,0.000901396,-0.002858566,0.000268621,0.00681899
105.5989,0.001152426,-0.00214696,0.000101375,0.007001394
105.7795,0.001428823,-0.001381508,8.02E-05,0.007197621
105.9602,0.001753378,-0.000575407,0.000217321,0.007397067
106.141,0.002140585,0.000265942,0.000504056,0.00758616
106.3217,0.002602182,0.00113985,0.000925119,0.007750317
106.5024,0.00314921,0.002043584,0.001464164,0.007875024
106.6831,0.003780993,0.002973384,0.002089798,0.007947926
106.8637,0.004487267,0.003924591,0.002758642,0.007958381
107.0444,0.005257432,0.004892482,0.003426792,0.007895765
107.2251,0.006076479,0.005867741,0.004050748,0.007750961
107.4058,0.006920765,0.006831963,0.004588066,0.00751766
107.5865,0.007765535,0.007765602,0.004996242,0.007189849
107.7673,0.008586237,0.008647911,0.005237625,0.006761925
107.9481,0.009359063,0.009452007,0.005297876,0.006230138
108.1289,0.01006033,0.01014905,0.005169508,0.005591298
108.3097,0.01066674,0.01071045,0.004846768,0.004842618
108.4906,0.01116191,0.01111315,0.004346805,0.00398642
